ID;G0100;G0101;G0102;G0103;G0104;G0105;G0106;G0108;G0110;G0111;G0112;G0113
157;Poço Tubular;9.00;0.7;8.00;4.00;9.00;;;PVC;;Plástico PVC;
158;Poço Escavado-Cacimba;6.00;1.00;3.00;;;01/07/1992;;;;;
159;Poço Escavado-Cacimba;12.00;6.00;;;;;;;;;
160;Poço Escavado-Cacimba;6.00;1.5;3.00;;;;;;;;
161;Poço Escavado-Cacimba;6.00;1.00;3.00;;;;;;;;
162;;;;;;;;;;;;
163;Poço Escavado-Cacimba;6.00;;;;;;;;;;
164;;;;;;;;;;;;
165;;;;;;;;;;;;
166;Poço Escavado-Cacimba;6.00;1.00;2.5;;;;;;;;
167;Poço Escavado-Cacimba;15.00;1.00;1.5;;;;;;;;
168;Poço Escavado-Cacimba;13.00;1.5;2.00;;;08/08/2002;;;;;
169;Poço Escavado-Cacimba;6.00;1.00;3.00;;;;;;;;
170;Poço Escavado-Cacimba;8.00;1.00;4.00;;;01/10/1992;;;;;
171;Poço Escavado-Cacimba;12.00;1.00;1.5;;;;;;;;
172;Poço Escavado-Cacimba;11.00;1.00;2.5;;;02/04/2002;;;;;
173;Poço Tubular;9.00;1.5;1.5;;;01/12/2017;;;;;
174;Poço Escavado-Cacimba;11.00;1.00;2.5;;;09/09/1999;;;;;
175;Poço Escavado-Cacimba;7.00;1.00;2.5;;;;;;;;
176;Poço Escavado-Cacimba;6.00;1.5;3.00;;;02/07/1997;;;;;
177;Poço Escavado-Cacimba;14.00;1.00;3.00;;;01/05/1992;;;;;
178;;;;;;;;;;;;
179;Poço Escavado-Cacimba;5.00;1.5;2.00;;;01/06/2005;;;;;
180;;;;;;;;;;;;
181;;;;;;;;;;;;
182;Poço Escavado-Cacimba;12.00;1.5;3.00;;;;;;;;
183;Poço Escavado-Cacimba;8.00;1.2;3.00;;;;;;;;
184;;;;;;;;;;;;
185;Poço Escavado-Cacimba;7.5;;;;;;;;;;
186;Poço Escavado-Cacimba;4.00;1.00;1.5;;;;;;;;
187;Poço Escavado-Cacimba;6.00;3.00;;;;;;;;;
188;Poço Escavado-Cacimba;8.00;1.00;3.00;;;;;;;;
189;;;;;;;;;;;;
190;Poço Escavado-Cacimba;12.00;1.00;4.00;;;;;;;;
191;Poço Escavado-Cacimba;8.00;1.00;;;;;;;;;
192;Poço Escavado-Cacimba;5.00;;;;;;;;;;
193;Poço Escavado-Cacimba;6.00;1.00;;;;;;;;;
194;Poço Escavado-Cacimba;6.00;;;;;;;;;;
195;Poço Escavado-Cacimba;3.00;1.00;1.5;;;;;;;;
196;Poço Escavado-Cacimba;6.00;1.00;4.5;;;;;;;;
197;;;;;;;;;;;;
198;;;;;;;;;;;;
199;;;;;;;;;;;;
200;;;;;;;;;;;;
201;;;;;;;;;;;;
202;;;;;;;;;;;;
203;;;;;;;;;;;;
204;;;;;;;;;;;;
205;;;;;;;;;;;;
206;Poço Escavado-Cacimba;6.00;1.00;5.00;;;;;;;;
