MES;EF0000;EF0001;EF0002;EF0003
Janeiro;18;1;12;216
Janeiro;18;1;30;540
Janeiro;14;3;24;1008
Janeiro;14;1;30;420
Janeiro;0;0;0;0
Janeiro;7.5;1;20;150
Janeiro;25;1;8;200
Janeiro;25;1;30;750
Janeiro;30;2;30;1800
Janeiro;0;0;0;0
Janeiro;20;1;10;200
Janeiro;35;1;30;1050
Janeiro;35;1;30;1050
Janeiro;0;0;0;0
Janeiro;35;1;30;1050
Janeiro;32;1;20;640
Janeiro;25;2;20;1000
Janeiro;35;1;25;875
Janeiro;30;5;25;3750
Janeiro;30;2;20;1200
Janeiro;25;3;30;2250
Janeiro;20;2;30;1200
Janeiro;0;0;0;0
Janeiro;25;1;30;750
Janeiro;32;12;25;9600
Janeiro;20;1;30;600
Janeiro;25;2;24;1200
Janeiro;30;4;30;3600
Janeiro;25;1;25;625
Janeiro;35;1;25;875
Janeiro;35;1;30;1050
Janeiro;30;2;20;1200
Janeiro;15;2;25;750
Janeiro;15;2;25;750
Janeiro;35;2;25;1750
Janeiro;20;9;25;4500
Janeiro;0;0;0;0
Janeiro;15;5;30;2250
Janeiro;15;1;30;450
Janeiro;30;1;25;750
Janeiro;25;1;25;625
Janeiro;25;1;25;625
Janeiro;30;1;30;900
Janeiro;20;1;26;520
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;2;2;30;120
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;1;3;30;90
Janeiro;0;0;0;0
Janeiro;5;8;30;1200
Janeiro;10;2;15;300
Janeiro;3;4;20;240
Janeiro;10;2;10;200
Janeiro;0;0;0;0
Janeiro;3;5;15;225
Janeiro;0;0;0;0
Janeiro;3;5;20;300
Janeiro;0;0;0;0
Janeiro;2;2;30;120
Janeiro;0;0;0;0
Janeiro;2;3;30;180
Janeiro;12;4;30;1440
Janeiro;5;1;15;75
Janeiro;8;1;30;240
Janeiro;0;0;0;0
Janeiro;3;3;15;135
Janeiro;4;2;30;240
Janeiro;3;1;30;90
Janeiro;5;8;30;1200
Janeiro;4;2;30;240
Janeiro;10;6;10;600
Janeiro;2;6;15;180
Janeiro;20;6;10;1200
Janeiro;10;6;10;600
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
