USOS;H0320;H0321;H0322;H0323
341;FALSE;;;24480
342;;;;79600
343;FALSE;;;34440
344;;;;61740
345;;;;79600
346;;;;113400
347;FALSE;;;37000
348;;;;9240
349;;;;
350;;;;151200
351;;;;
352;;;;300.96
353;;;;158400
354;;;;47320
355;FALSE;;;151200
356;FALSE;;;57340
357;FALSE;;;82080
358;FALSE;;;52920
359;FALSE;;;25200
360;FALSE;;;32450
361;FALSE;;;396
362;FALSE;;;277200
363;FALSE;;;7920
364;FALSE;;;43560
365;;;;7812
366;FALSE;;;75600
367;;;;341760
368;FALSE;;;78680
369;FALSE;;;64520
370;;;;9240
371;;;;32760
372;FALSE;;;21420
373;FALSE;;;37800
374;;;;43920
375;;;;18480
376;;;;10170
377;FALSE;;;22.14
378;;;;48000
379;;;;76.2
380;FALSE;;;22530
381;;;;24000
382;;;;22140
383;;;;76000
384;;;;64000
385;;;;60000
386;;;;40000
387;;;;50000
388;;;;50000
389;;;;20000
390;;;;30000
391;;;;60000
392;;;;50000
393;;;;40000
394;;;;60000
395;;;;60000
396;;;;60000
397;;;;50000
398;;;;40000
399;;;;60000
400;;;;50000
401;;;;13000
402;;;;25000
403;;;;50000
404;;;;56000
405;;;;35000
406;;;;400000
407;;;;34000
408;;;;45000
409;;;;56000
410;;;;50000
411;;;;21000
412;;;;
413;;;;
414;;;;
415;;;;
416;;;;
417;;;;
418;;;;
419;;;;
420;;;;
421;;;;
422;;;;
423;;;;
424;;;;
425;;;;
426;;;;30000
427;;;;
428;;;;253000
429;;;;
430;;;;
431;;;;
432;;;;
433;;;;
434;;;;
435;;;;
436;;;;
437;;;;
438;;;;
439;;;;
440;;;;
441;;;;
442;;;;
443;;;;
444;;;;
445;;;;
446;;;;
447;;;;
448;;;;
449;;;;
450;;;;
451;;;;
452;;;;
453;;;;
454;;;;
455;;;;
456;;;;
457;;;;35000
458;;;;
459;;;;
460;;;;
461;;;;35000
462;;;;30000
463;;;;
464;;;;
465;;;;
466;;;;
467;;;;40000
468;;;;
469;;;;48000
470;;;;
471;FALSE;;;1.5
472;;;;2.5
473;;;;3
474;FALSE;;;10000.00
475;FALSE;;;2500.00
476;FALSE;;;3.5
477;;;;1.5
478;;;;2.5
479;FALSE;;;
480;;;;3.5
481;;;;2
482;;;;2
483;FALSE;;;10000.00
484;FALSE;;;3
485;;;;3
486;;;;6
487;;;;3.5
488;;;;5
489;;;;1.5
490;;;;3
491;;;;2
492;;;;2.5
493;;;;3.5
494;;;;2
495;;;;3
496;;;;3.5
497;;;;2
498;;;;2
499;FALSE;;;3
500;;;;6
501;;;;3
502;;;;2.5
503;;;;1.5
504;;;;3
505;;;;2
506;;;;3
507;;;;4
508;;;;3
509;FALSE;;;3
510;FALSE;;;
511;FALSE;;;
512;FALSE;;;
513;FALSE;;;
514;FALSE;;;
515;FALSE;;;
516;FALSE;;;
517;FALSE;;;
518;FALSE;;;
519;FALSE;;;
