CAD;D0000;B0007;D0002;D0003;D0100;D0101
439;CANAL ;12;Não;;-6.4339;-38.9203
440;CANAL;12;Não;;-6.4304;-38.912
441;CANAL;12;;;-6.4325;-38.928
442;CANAL;12;Não;;-6.4118;-38.9015
443;CANAL;12;Não;;-6.4139;-38.9203
444;CANAL;12;;;-6.4303;-38.9271
445;CANAL;12;Não;;-6.4292;-38.9157
446;CANAL ;12;;;-6.419;-39.9283
447;CANAL ;12;;;-6.4323;-38.9281
448;CANAL;12;;;-6.4319;-38.9296
449;CANAL;12;;;-6.4259;-38.917
450;CANAL;12;;;-6.4089;-38.8972
451;CANAL;12;;;-6.4242;-38.9156
452;CANAL;12;;;-6.4285;-38.9161
453;CANAL;12;;;-6.4262;-38.9244
454;CANAL;12;;;-6.4132;-38.8878
455;CANAL;12;;;-6.4296;-38.9155
456;CANAL;12;;;-6.4137;-38.8755
457;POÇO;12;;;-6.4288;-38.9255
458;CANAL;12;;;-6.4131;-38.8807
459;CANAL;12;;;-6.4256;-38.9166
460;CANAL;12;;;-6.4233;-38.9094
461;POÇO;12;Sim;;-6.4175;-38.9133
462;CANAL;12;;;-6.4149;-38.911
463;CANAL;12;;;-6.4164;-38.882
464;CANAL;12;;;-6.4259;-38.917
465;CANAL;12;;;-6.4159;-38.8947
466;CANAL;12;;;-6.4257;-38.9058
467;CANAL;12;;;-6.4259;-38.9231
468;CANAL;12;;;-6.4365;-38.9331
469;POÇO;12;;;-6.4177;-38.9132
470;;12;;;-6.4341;-38.9179
471;AÇUDE PARTICULAR;10;;;-6.1641;-39.8634
472;AÇUDE PARTICULAR;10;Não;;-6.1949;-39.8732
473;AÇUDE PARTICULAR;10;Não;;-6.1359;-39.8417
474;AÇUDE PARTICULAR;10;Não;;-6.124;-38.8558
475;AÇUDE PARTICULAR;10;Não;;-6.1571;-39.8481
476;AÇUDE PARTICULAR;10;Não;;-6.1515;-39.8463
477;AÇUDE PARTICULAR;10;Não;;-6.1647;-39.8626
478;AÇUDE PARTICULAR;10;Não;;-6.1948;-39.8735
479;AÇUDE PARTICULAR;10;Não;;-6.1514;-39.8461
480;AÇUDE PARTICULAR;10;Não;;-6.1644;-39.8625
481;AÇUDE PARTICULAR;10;;;-6.1642;-39.8634
482;AÇUDE PARTICULAR;10;;;-6.1642;-39.8634
483;AÇUDE PARTICULAR;10;Não;;-6.1238;-39.8797
484;AÇUDE PARTICULAR;10;;;-6.1355;-39.8429
485;AÇUDE PARTICULAR;10;;;-6.1352;-39.8431
486;AÇUDE PARTICULAR;10;Não;;-6.311158333;-40.05976667
487;AÇUDE PARTICULAR;10;;;-6.1581;-39.8517
488;AÇUDE PARTICULAR;10;Não;;-6.1582;-39.8506
489;AÇUDE PARTICULAR;10;;;-6.1507;-39.8662
490;AÇUDE PARTICULAR;10;Não;;-6.1389;-39.8469
491;Açude;10;;;-6.1233;-39.8541
492;Açude;10;;;-6.1233;-39.8474
493;Açude;10;;;-6.1932;-39.8455
494;Poço;10;;;-6.294166667;-39.88666667
495;Açude;10;;;-6.1503;-39.8664
496;Açude;10;;;-6.1873;-39.8488
497;POÇO;6;Não;;-6.1815;-40.1726
498;Poço Profundo;6;Não;;-6.1813;-40.1726
499;Açude Arneiroz 2;6;;;-6.2387;-40.2474
500;Poço Profundo;6;;;-6.3271;-40.195
501;Açude Arneiroz II;6;;;-6.2313;-40.2442
502;Açude Arneiroz II;6;;;-6.2758;-40.1262
503;Rio Jaguaribe;6;Não;;-6.2882;-40.191
504;Açude;6;Não;;-6.2287;-40.247
505;Açude Arneiroz 2;6;Não;;-6.2376;-40.2622
506;Açude Arneiroz II;6;;;-6.2706;-40.2372
507;Rio Jaguaribe;6;Não;;-6.2767;-40.2035
508;Açude Arneiroz II;6;Não;;-6.2313;-40.2442
509;Rio Jaguaribe;6;Não;;-6.2876;-40.1906
510;Alto Jaguaribe;7;;;;
511;Alto Jaguaribe;7;;;-6.8036;-39.9116
512;Alto Jaguaribe;7;;;-6.8352;-39.9516
513;Alto Jaguaribe;7;;;-6.8397;-39.9621
514;Alto Jaguaribe;7;;;-6.8496;-39.9693
515;Alto Jaguaribe;7;;;-6.8513;-39.9702
516;Alto Jaguaribe;7;;;-6.8413;-39.959
517;Alto Jaguaribe;7;;;-6.8414;-39.9631
518;Alto Jaguaribe;7;;;-6.8419;-39.9655
519;Alto Jaguaribe;7;;;-6.8397;-39.9622
520;Alto Jaguaribe;7;;;-6.8398;-39.9541
521;Alto Jaguaribe;7;;;-6.8933;-39.9499
522;Alto Jaguaribe;7;;;-6.8648;-39.9373
523;Alto Jaguaribe;7;;;-6.8399;-39.9583
524;Alto Jaguaribe;7;;;-6.8423;-39.9595
525;Alto Jaguaribe;7;;;-6.8419;-39.9655
526;Alto Jaguaribe;7;;;-6.9163;-39.9759
527;Alto Jaguaribe;7;;;-6.8849;-39.9474
528;Alto Jaguaribe;7;;;-6.886;-39.9476
529;Alto Jaguaribe;7;;;-6.9171;-39.9806
530;Alto Jaguaribe;7;;;-6.9161;-39.9713
531;;8;;;-7.0208;-40.3583
532;POÇO;8;Não;;-7.0203;-40.359
533;POÇO;8;;;-7.0202;-40.3582
534;POÇO;8;;;-7.0273;-40.368
535;AÇUDE POÇO DE PEDRA;8;;;-7.0135;-40.3801
536;POÇO;8;Não;;-7.0143;-40.3589
537;ACUDE;8;;;-7.0245;-40.3774
538;AÇUDE POÇO DE PEDRA;8;;;-7.0143;-40.3814
539;AÇUDE POÇO DE PEDRA;8;;;-7.011;-40.3764
540;AÇUDE POÇO DE PEDRA;8;;;-7.0134;-40.3811
541;Açude;8;;;-7.0177;-40.3816
542;CSTERNA DE ENXURRADA;8;;;-7.0043;-40.3999
543;AÇUDE POÇO DE PEDRA;8;;;-7.0129;-40.3743
544;Açude;8;;;-7.0177;-40.3819
545;AÇUDE POÇO DE PEDRA;8;;;-7.0114;-40.3764
546;POÇO;8;;;-6.9871;-40.4133
547;POÇO;8;;;-7.0133;-40.3801
548;AÇUDE POÇO DE PEDRA;8;;;-7.0111;-40.3761
549;POÇO;8;;;-6.9577;-40.2301
550;CISTERNADE ENXURRDA;8;;;-6.7819;-40.3493
551;CISTERNA DE ENXURRADA;8;;;-6.7707;-40.338
552;AÇUDE;8;;;-7.0177;-40.3819
553;POÇO;8;;;-6.94;-40.2345
554;CISTERNA DE ENXURRADA;8;;;-7.0111;-40.376
555;CISTERNA DE ENXURRADA;8;;;-6.9969;-40.2491
556;POÇO;8;;;-6.9533;-40.2259
557;POÇO;8;;;-6.9847;-40.4141
558;CISTERNA DE ENXURRADA;8;;;-7.0377;-40.3008
559;AÇUDE;8;;;-6.8553;-40.3856
560;AÇUDE;8;;;-6.9558;-40.2134
561;CISTERNA DE ENXURRADA;8;;;-6.9917;-40.2484
562;AÇUDE;8;;;-6.9554;-40.2143
563;AÇUDE;8;;;-6.8529;-40.3876
564;AÇUDE;8;;;-6.9567;-40.2161
565;AÇUDE;8;;;-6.8606;-40.3879
566;AÇUDE;8;;;-7.0165;-40.3864
567;AÇUDE;8;;;-6.8507;-40.3875
568;AÇUDE;8;;;-7.017;-40.3858
569;POÇO;8;;;-7.0052;-40.4016
570;CISTERNA DE 52.000;8;;;-6.8596;-40.3877
571;CISTERNA DE ENXURRADA;8;;;-6.8091;-40.3674
572;AÇUDE;8;;;-7.0291;-40.2921
573;POÇO;8;;;-7.0052;-40.4016
574;AÇUDE;8;;;-6.8555;-40.3856
575;CISTERNA DE ENXURRADA;8;;;-7.027;-40.3888
576;POÇO;8;;;-7.0074;-40.4006
577;POÇO;8;;;-7.016;-40.3993
578;POÇO;8;;;-7.0158;-40.3946
579;AÇUDE;8;;;-7.0151;-40.3847
580;AÇUDE;8;;;-7.0095;-40.3959
581;POÇO;8;;;-7.0158;-40.3937
582;AÇUDE;8;;;-7.0171;-40.3864
583;AÇUDE;8;;;-7.012;-40.3853
584;POÇO;8;;;-7.0044;-40.4007
585;BARREIRO;8;;;-7.0266;-40.389
586;AÇUDE;8;;;-7.016;-40.3914
587;AÇUDE;8;;;-7.0274;-40.3892
588;CISTRN DE ENXURRADA;8;;;-7.0159;-40.3994
589;AÇUDE;8;;;-7.0288;-40.3895
590;POÇO;8;;;-7.0302;-40.3896
591;AÇUDE;8;;;-7.0272;-40.389
592;POÇO;8;;;-7.0172;-40.3957
593;CISTERNA;8;;;-7.0258;-40.3887
594;AÇUDE;8;;;-7.0254;-40.3891
595;POÇO;14;;;-6.4639;-39.4342
596;POÇO;14;Não;;-6.4724;-39.4338
597;POÇO;14;;;-6.4762;-39.4171
598;AÇUDE;14;;;-6.479;-39.4377
599;Poço Profundo;14;;;-6.4762;-39.4571
600;Poço Profundo;14;;;-6.4765;-39.4572
601;AÇUDE;14;;;-6.4694;-39.4331
602;POÇO;14;;;-6.4708;-39.4333
603;CACIMBÃO;14;Não;;-6.4762;-39.9555
604;RIO JAGUARIBE;14;Não;;-6.5426;-39.647
605;CACIMBÃO;14;Não;;-6.4755;-39.4515
606;RIO JAGUARIBE;14;Não;;-6.5026;-346417
607;POÇO;14;Não;;-6.4636;-39.4133
608;RIO JAGUARIBE;14;Não;;-6.5185;-39.6379
609;Poço Profundo;14;Não;;-6.4717;-39.4311
610;Poço Profundo;14;Não;;-6.4765;-39.4559
611;RIO JAGUARIBE;14;Não;;-6.4983;-39.6475
612;Poço Profundo;14;Não;;-6.4758;-39.4542
613;RIO JAGUARIBE;14;Não;;-6.554;-39.6434
614;RIO JAGUARIBE;14;Não;;-6.5678;-39.6389
615;RIO JAGUARIBE;14;Não;;-6.5521;-39.6476
616;RIO JAGUARIBE;14;Não;;-6.5324;-39.6425
617;RIOJAGUARIBE;14;Não;;-6.5085;-39.6407
618;RIO JAGUARIBE;14;Não;;-6.5545;-39.646
619;RIO JAGUARIBE;14;Não;;-6.5297;-39.6408
620;RIO JAGUARIBE;14;Não;;-6.5163;-39.6393
621;RIO JAGUARIBE;14;Sim;;-6.5355;-39.6457
622;RIO JAGUARIBE;14;Não;;-6.5297;-39.6408
623;CACIMBÃO;14;Não;;-6.5683;-39.6302
624;RIO JAGUARIBE;14;Não;;-6.5053;-39.6424
625;POÇO;14;Não;;-6.5412;-39.5366
626;RIO JAGUARIBE;14;Não;;-6.5422;-39.5385
627;POÇO;14;Não;;-6.5399;-39.5322
628;RIO JAGUARIBE;14;Não;;-6.5423;-39.5366
629;POÇO;14;Não;;-6.5441;-39.5682
630;RIO JAGUARIBE;14;Não;;-6.5031;-39.6447
631;RIO JAGUARIBE;14;Não;;-6.5588;-39.5984
632;POÇO;14;Não;;-6.5412;-39.5365
633;RIO JAGUARIBE;14;Não;;-6.5329;-39.6428
634;RIO JAGUARIBE;14;Não;;-6.5501;-39.5835
635;RIO JAGUARIBE;14;Não;;-6.5421;-39.5771
636;RIO JAGUARIBE;14;Não;;-6.5546;-39.5867
637;RIO JAGUARIBE;14;Não;;-6.5593;-39.6018
638;RIO JAGUARIBE;14;Não;;-6.5572;-39.5897
639;RIO JAGUARIBE;14;Sim;;-6.5428;-39.5711
640;RIO JAGUARIBE;14;Não;;-6.5439;-39.5584
641;RIO JAGUARIBE;14;Não;;-6.5394;-39.5488
642;RIO JAGUARIBE;14;Não;;-6.5439;-39.5613
643;POÇO;14;Não;;-6.5428;-39.5574
644;RIO JAGUARIBE;14;Sim;;-6.5438;-39.5797
645;RIO JAGUARIBE;14;Não;;-6.5544;-39.5866
646;POÇO ;14;Não;;-6.4161;-39.4067
647;RIO JAGUARIBE;14;Não;;-6.5446;-39.5658
648;RIO JAGUARIBE;14;Não;;-6.5428;-39.5574
649;RIO JAGUARIBE;14;Não;;-6.481;-39.4379
650;POÇO;14;Não;;-6.4832;-39.4368
651;POÇO;14;Não;;-6.4099;-39.4277
652;POÇO;14;Não;;-6.4222;-39.409
653;POÇO;14;Não;;-6.4639;-39.4109
654;POÇO;14;Não;;-6.4153;-39.4152
655;POÇO;14;Não;;-6.411;-39.4314
656;POÇO;14;Não;;-6.4123;-39.4247
657;POÇO;14;Não;;-6.4144;-39.4265
658;RIO JAGUARIBE;14;Não;;-6.5132;-39.4971
659;RIO JAGUARIBE;14;Não;;-6.5156;-39.4975
660;RIO JAGUARIBE;14;Não;;-6.5166;-39.4997
661;RIO JAGUARIBE;14;Não;;-6.517;-39.5023
662;POÇO;14;Não;;-6.4128;-39.4241
663;RIO JAGUARIBE;14;Não;;-6.5175;-39.5042
664;AÇUDE BALTAZAR;14;Não;;-6.4963;-39.5405
665;RIO JAGUARIBE;14;Não;;-6.5102;-39.4666
666;RIO JAGUARIBE;14;Não;;-6.5115;-39.475
667;RIO JAGUARIBE;14;Não;;-6.5451;-39.6473
668;POÇO;14;Não;;-6.5367;-39.529
669;RIO JAGUARIBE;14;Não;;-6.5092;-39.4699
670;RIO JAGUARIBE;14;Não;;-6.5118;-39.4925
671;RIO JAGUARIBE;14;Não;;-6.5109;-39.4709
672;RIO JAGUARIBE;14;Não;;-6.5102;-39.4666
673;RIO JAGUARIBE;14;Não;;-6.5098;-39.4661
674;RIO JAGUARIBE;14;Não;;-6.5097;-39.4663
675;RIO JAGUARIBE;14;Não;;-6.5083;-39.4651
676;RIO JAGUARIBE;14;Não;;-6.533;-39.5262
677;POÇO;14;Não;;-6.412777778;-39.40833333
678;RIO JAGUARIBE;14;Não;;-6.5396;-39.2442
679;AÇUDE BALTAZAR;14;Não;;-6.5005;-39.5371
680;AÇUDE BALTAZAR;14;Não;;-6.4961;-39.5415
681;POÇO;14;Não;;-6.4102;-39.4296
682;RIO JAGUARIBE;14;Não;;-6.5407;-39.5337
683;RIO JAGUARIBE;14;Não;;-6.511;-39.4707
684;RIO JAGUARIBE;14;Não;;-6.5102;-39.4627
685;RIO JAGUARIBE;14;Não;;-6.5301;-39.5253
686;RIO JAGUARIBE;14;Não;;-6.5395;-39.544
687;POÇO;14;Não;;-6.5092;-39.462
688;RIO JAGUARIBE;14;Não;;-6.507;-39.4605
689;RIO JAGUARIBE;14;Não;;-6.5101;-39.4664
690;RIO JAGUARIBE;14;Não;;-6.5037;-39.4623
691;RIO JAGUARIBE;14;Não;;-6.5086;-39.4619
692;RIO JAGUARIBE;14;Não;;-6.5969;-39.4608
693;AÇUDE BALTAZAR;14;Não;;-6.4961;-39.5415
694;RIO JAGUARIBE;14;Não;;-6.4977;-39.4597
695;RIO JAGUARIBE;14;Não;;-6.4966;-39.4572
696;RIO JAGUARIBE;14;Não;;-6.5006;-39.462
697;RIO JAGAURIBE;14;Não;;-6.5083;-39.4655
698;RIO JAGUARIBE;14;Não;;-6.4977;-39.4585
699;AÇUDE ;14;Não;;-6.501;-39.5392
700;RIO JAGUARIBE;14;Não;;-6.4977;-39.4601
701;RIO JAGUARIBE;14;Não;;-6.4984;-39.4601
702;POÇO;14;Não;;-6.543;-39.5742
703;RIO JAGUARIBE;14;Não;;-6.5432;-39.5371
704;RIO JAGUARIBE;14;;;-6.539444444;-39.56416667
705;RIO JAGUARIBE;14;;;-6.5422;-39.5388
706;AÇUDE ;14;;;-6.4631;-39.5873
707;RIO JAGUARIBE;14;;;-6.5;-39.4595
708;AÇUDE;14;;;-6.3789;-39.6588
709;AÇUDE PARTICULAR;14;;;-6.3789;-39.6588
710;AÇUDE PARTICULAR;14;;;-6.4664;-39.5935
711;POÇO;14;;;-6.486944444;-39.52916667
712;POÇO;14;;;-6.3945;-39.5749
713;AÇUDE PARTICULAR;14;;;-6.3816;-39.6599
714;Poço ;14;;;-6.3545;-39.5751
715;POÇO;14;;;-6.35;-39.575
716;AÇUDE;14;;;-6.3387;-39.5705
717;POÇO;14;;;-6.3518;-39.5748
718;Açude ;14;;;-6.3638;-39.56
719;AÇUDE;14;;;-6.3526;-39.5763
720;POÇO;14;;;-6.35;-39.575
721;Poço ;14;;;-6.3499;-39.5712
722;POÇO;14;;;-6.3532;-39.5735
723;POÇO;14;;;-6.3531;-39.5744
724;AÇUDE;14;;;-6.4171;-39.612
725;POÇO;14;;;-6.4029;-39.5737
726;POÇO;14;;;-6.3444;-39.5731
727;AÇUDE;14;;;-6.3861;-39.5861
728;AÇUDE ;14;;;-6.4005;-39.57
729;POÇO TUBULAR;14;;;-6.3982;-39.5603
730;POÇO;14;;;-6.3484;-39.5451
731;CACIMBÃO;14;;;-6.3933;-39.5729
732;POÇO;14;;;-6.348;-39.575
733;POÇO;14;;;-6.3948;-39.5651
734;AÇUDE;14;;;-6.4157;-39.6107
735;AÇUDE;14;;;-6.4174;-39.6108
736;CACIMBÃO;14;;;-6.3562;-39.5735
737;POÇO;14;;;-6.3777;-39.5777
738;AÇUDE;14;;;-6.414;-39.6087
739;AÇUDE;14;;;-6.4146;-39.6097
740;Acude;14;;;-6.386388889;-39.59333333
741;AÇUDE;14;;;-6.3977;-39.5725
742;CACIMBÃO;14;;;-6.3934;-39.5755
743;AÇUDE;14;;;-6.4076;-39.5976
744;AÇUDE;14;;;-6.3812;-39.6453
745;ALTO JAGUARIBE;17;Não;;-6.231513444;-40.65180043
746;ALTO JAGUARIBE;17;Não;;-6.316579481;-40.62355801
747;ALTO JAGUARIBE;17;Não;;-6.32376;-40.62778044
748;ALTO JAGUARIBE;17;Não;;-6.326177778;-40.62736164
749;ALTO JAGUARIBE;17;Não;;-6.325557917;-40.62747754
750;;18;;;-7.0835;-39.9657
751;;18;;;-7.0882;-39.9909
752;;18;;;-7.0851;-39.9686
753;;18;;;-7.0885;-40.0208
754;;18;;;-7.0942;-40.1326
755;;18;;;-7.0876;-39.9949
756;;18;;;-7.0906;-40.1329
757;;18;;;-7.0859;-39.966
758;;18;;;-7.0884;-40.0021
759;;18;;;-7.0906;-39.9897
760;;18;;;-7.0475;-40.0522
761;;18;;;-7.0835;-39.9651
762;;18;;;-7.0716;-40.0614
763;Santa  Maria ;18;;;-7.0705;-40.0606
764;;18;;;-7.068;-40.0184
765;;18;;;-7.1363;-40.0607
766;;18;;;-7.106;-40.0777
767;;18;;;-7.0653;-40.0357
768;;18;;;-7.0996;-40.0275
769;;18;;;-7.0841;-40.044
770;;18;;;-7.0906;-40.0268
771;;18;;;-7.0942;-40.1326
772;POÇO;24;Não;;-59625;-40.3453
773;POÇO;24;Não;;-59896;-40.3162
774;POÇO;24;Não;;-59598;-40.3455
775;POÇO;24;;;-59682;-40.3387
776;CACIMBAO;24;Não;;-59563;-40.3606
777;POÇO TUBULAR;24;Não;;-59599;-40.3453
778;CACIMBAO;24;Não;;-59596;-40.3491
779;POÇO;24;Não;;-59555;-40.3586
780;POÇO;24;;;-59583;-40.3569
781;CACIMBAO;24;Não;;-59562;-40.3617
782;POÇO;24;Não;;-5.96;-40.3473
783;POÇO;24;Não;;-59575;-40.3578
784;POÇO;24;Não;;-59525;-40.3607
785;POÇO;24;Não;;-5951;-40.3629
786;POÇO;24;;;-59618;-40.3457
787;Alto Jaguaribe ;19;Não;;-6.2555;-39.2422
788;Alto Jaguaribe ;19;Não;;-6.2527;-39.2424
789;Alto do Jaguaribe ;19;;;-6.2898;-39.2254
790;Alto Jaguaribe ;19;;;-6.279;-39.211
791;Alto Jaguaribe ;19;Não;;-6.2507;-39.2418
792;Alto Jaguaribe ;19;Não;;-6.2532;-39.2372
793;Alto Jaguaribe ;19;Não;;-6.2571;-39.2432
794;Alto Jaguaribe ;19;;;-6.2891;-39.2191
795;Alto Jaguaribe ;19;;;-6.2894;-39.2155
796;Alto Jaguaribe ;19;;;-6.2894;-39.211
797;Alto Jaguaribe ;19;Não;;-6.2476;-39.2323
798;Alto Jaguaribe ;19;Não;;-6.261;-39.2477
799;Alto Jaguaribe ;19;;;-6.2433;-39.2003
800;Alto Jaguaribe ;19;;;-6.2294;-39.1987
801;Alto Jaguaribe ;19;;;-6.231;-39.1982
802;Alto Jaguaribe ;19;;;-6.2157;-39.2
803;Alto Jaguaribe ;19;;;-6.2827;-39.2237
804;Alto Jaguaribe ;19;;;-6.2344;-39.1978
805;Alto Jaguaribe ;19;;;-6.2379;-39.2053
806;Alto Jaguaribe ;19;;;-6.229;-39.1986
807;Alto Jaguaribe ;19;;;-6.2319;-39.198
808;Alto Jaguaribe ;19;;;-6.2346;-39.1978
809;Alto Jaguaribe ;19;;;-6.2068;-39.1989
810;Alto Jaguaribe ;19;;;-6.2085;-39.2024
811;Alto Jaguaribe ;19;;;-6.2114;-39.1996
812;Alto Jaguaribe ;19;;;-6.2008;-39.2041
813;Alto Jaguaribe ;19;;;-6.2114;-39.1996
814;Alto Jaguaribe ;19;;;-6.2123;-39.1995
815;Alto Jaguaribe ;19;;;-6.2103;-39.2003
816;Alto Jaguaribe ;19;;;-6.1449;-39.2396
817;Alto Jaguaribe ;19;;;-6.2128;-39.1991
818;Algo Jaguaribe ;19;;;-6.2005;-39.2048
819;Alto Jaguaribe ;19;;;-6.1992;-39.2045
820;Alto Jaguaribe ;19;;;-6.2105;-39.2068
821;Alto Jaguaribe ;19;;;-6.2358;-39.1974
822;Alto Jaguaribe ;19;;;-6.2095;-39.2111
823;Alto Jaguaribe ;19;;;-6.2414;-39.2083
824;Alto Jaguaribe ;19;;;-6.2006;-39.2043
825;Alto Jaguaribe ;19;;;-6.2428;-39.2073
826;Alto Jaguaribe ;19;;;-6.1987;-39.2047
827;Alto Jaguaribe ;19;;;-6.2412;-39.2084
828;Alto Jaguaribe ;19;;;-6.1977;-39.2129
829;Alto Jaguaribe ;19;;;-6.1866;-39.2109
830;Alto Jaguaribe ;19;;;-6.2166;-39.2523
831;Alto Jaguaribe ;19;;;-6.1905;-39.2047
832;Alto Jaguaribe ;19;;;-6.2409;-39.2083
833;Alto Jaguaribe ;19;;;-6.1922;-39.2047
834;Alto Jaguaribe ;19;;;-6.2203;-39.2098
835;Alto Jaguaribe ;19;;;-6.2277;-39.209
836;Alto Jaguaribe ;19;;;-6.1395;-39.2616
837;Alto Jaguaribe ;19;;;-6.2134;-39.2103
838;Alto Jaguaribe ;19;;;-6.2243;-39.2096
839;Alto Jaguaribe ;19;;;-6.1826;-39.2159
840;Alto Jaguaribe ;19;;;-6.1858;-39.2111
841;Alto Jaguaribe ;19;;;-6.1527;-39.2076
842;Alto Jaguaribe ;19;;;-6.1897;-39.2076
843;Alto Jaguaribe ;19;;;-6.2802;-39.1846
844;Alto Jaguaribe ;19;;;-6.2773;-39.1885
845;Alto Jaguaribe ;19;;;-6.1882;-39.2069
846;Alto Jaguaribe ;19;;;-6.1838;-39.2118
847;Alto Jaguaribe ;19;;;-6.1891;-39.205
848;Alto Jaguaribe ;19;;;-6.1755;-39.2226
849;Alto Jaguaribe ;19;;;-6.1609;-39.2135
850;Alto Jaguaribe ;19;;;-6.1655;-39.2125
851;Alto Jaguaribe ;19;;;-6.276;-39.1943
852;Alto Jaguaribe ;19;;;-6.1826;-39.2091
853;Alto Jaguaribe ;19;;;-6.2528;-39.2203
854;Alto Jaguaribe ;19;;;-6.1587;-39.2139
855;Alto Jaguaribe ;19;;;-6.1613;-39.2142
856;Alto Jaguaribe ;19;;;-6.2584;-39.2266
857;Alto Jaguaribe ;19;;;-6.1612;-39.2152
858;Alto Jaguaribe ;19;;;-6.1599;-39.2145
859;Alto Jaguaribe ;19;;;-6.1595;-39.2137
860;Alto Jaguaribe ;19;;;-6.2638;-39.1813
861;Alto Jaguaribe ;19;;;-6.1483;-39.2619
862;Alto Jaguaribe ;19;;;-6.2585;-39.2233
863;Alto Jaguaribe ;19;;;-6.137;-39.2555
864;Alto Jaguaribe ;19;;;-6.2684;-39.179
865;Alto Jaguaribe ;19;;;-6.2829;-39.1799
866;Alto Jaguaribe ;19;;;-6.1496;-39.2621
867;Alto Jaguaribe ;19;;;-6.2388;-39.208
868;Alto Jaguaribe ;19;;;-6.1587;-39.2145
869;POÇO;15;;;-7.0772;-39.7106
870;AÇUDE;15;;;-7.0607;-39.3964
871;POÇO;15;;;-7.0782;-39.7139
872;CACIMBÃO;15;;;-7.0811;-39.7195
873;POÇO;15;;;-7.0766;-39.7033
874;POÇO;15;;;-7.0751;-39.7058
875;POÇO;15;;;-7.0751;-39.7058
876;POÇO;15;;;-7.0736;-39.704
877;CACIMBA;15;;;-7.0794;-39.7163
878;CACIMBAO;15;;;-7.082;-39.7207
879;CACIMBAO;15;;;-7.0654;-39.6615
880;Subterrânea ;15;Não;;-7.0874;-39.7116
881;POÇO;15;;;-7.0844;-39.7285
882;CACIMBAO;15;;;-7.0866;-39.7301
883;AÇUDE;15;;;-7.0602;-39.6374
884;CACIMBA;15;;;-7.063;-39.6407
885;CACIMBA;15;;;-7.0632;-39.6414
886;POÇO;15;;;-7.0654;-39.6614
887;POÇO;15;;;-7.0847;-39.7273
888;CACIMBA;15;;;-7.0588;-39.6072
889;Açude ;20;Não;;-6.5485;-39.84
890;Rio Jaguaribe ;20;;;-6.5455;-39.8045
891;rio Jaguaribe;20;;;-6.5013;-39.7386
892;rio Jaguaribe;20;Não;;-6.5463;-39.8073
893;Rio Jaguaribe;20;;;-6.5152;-39.7544
894;Poço ;20;;;-6.5683;-39.9454
895;Rio Jaguaribe;20;;;-6.553;-39.8184
896;Rio Jaguaribe;20;;;-6.5201;-39.9365
897;Rio Jaguaribe;20;;;-6.532;-39.9212
898;Rio Jaguaribe;20;;;-6.57;-39.8838
899;Cacimbão;20;;;-6.340277778;-39.79277778
900;Rio Jaguaribe;20;;;-6.5717;-39.8882
901;Rio Jaguaribe ;20;;;-6.5369;-39.9073
902;Rio Jaguaribe;20;;;-6.5701;-39.8813
903;Rio Jaguaribe ;20;;;-6.5731;-39.8686
904;Rio Jaguaribe;20;;;-6.514444444;-39.75138889
905;Açude;20;;;-6.3931;-39.8292
906;Açude;20;;;-6.4707;-39.8379
907;Rio Jaguaribe;20;;;-6.4998;-39.735
908;Rio Jaguaribe;20;;;-6.5707;-39.8682
909;Açude ;20;;;-6.4406;-40.0215
910;Açude;20;;;-6.4705;-39.838
911;Açude ;20;;;-6.4697;-39.8382
912;Açude;20;;;-6.469;-39.8388
913;Açude;20;;;-6.4739;-39.84
914;Rio Jagu ;20;Não;;-6.5722;-39.8947
915;Açude;20;;;-6.331111111;-39.32916667
916;POÇO;5;;;-7.1408;-40.2185
917;POÇO;5;;;-7.1407;-40.2194
918;POÇO;5;;;-7.141;-40.2194
919;POÇO;5;;;-7.1386;-40.2148
920;CISTERNA;5;;;-7.1464;-40.2032
921;POÇO;5;;;-7.1397;-40.2172
922;CISTERNA;5;;;-7.1688;-40.1151
923;POÇO;5;;;-7.1686;-40.1165
924;POÇO;5;;;-7.1811;-40.1271
925;POÇO;5;;;-7.1392;-40.2169
926;POÇO;5;;;-7.1394;-40.217
927;CACIMBAO;5;;;-7.1818;-40.1272
928;POÇO;5;;;-7.1483;-40.2015
929;POÇO;5;;;-7.2745;-40.1463
930;CISTERNA;5;;;-7.168;-40.1163
931;POÇO;5;;;-7.2756;-40.1482
932;CISTERNA;5;;;-7.1678;-40.1163
933;POÇO;5;;;-7.2746;-40.1463
934;AÇUDE;5;;;-7.272;-40.1493
935;AÇUDE;5;;;-7.2554;-40.151
936;CISTERNA;5;;;-7.168;-40.1163
937;POÇO;5;;;-7.269;-40.1479
938;POÇO;5;;;-7.2738;-40.1487
939;POÇO;13;;;-6.4536;-39.3903
940;POÇO;13;;;-6.4555;-39.4029
941;POÇO;13;;;-6.4561;-39.394
942;POÇO;13;;;-6.4569;-39.3926
943;POÇO;13;;;-6.4533;-39.391
944;POÇO;13;;;-6.4543;-39.3846
945;POÇO;13;;;-6.4601;-39.3929
946;POÇO;13;;;-6.4543;-39.3908
947;RIO JAGUARIBE;13;;;-6.4563;-39.3884
948;POÇO NO RIO JAGUARIBE;13;;;-6.4595;-39.3931
949;POÇO;13;;;-6.4526;-39.3892
950;POÇO;13;;;-6.4608;-39.3967
