CAD;D0000;B0007;D0002;D0003;D0100;D0101
88;RIO JAGUARIBE;16;Não;;-6.240491667;-38.90676111
89;RIO JAGUARIBE;16;Não;;-6.241244444;-38.89505278
90;CANAL ORÓS- LIMA CAMPOS;16;Sim;1004/2021;-6.365166667;-38.98699167
91;RIO JAGUARIBE;16;Não;;-6.245133333;-38.87102778
92;RIO JAGUARIBE;16;Não;;-6.248588889;-38.86538611
93;CACIMBÃO BETANIA;16;Não;;-6.346408333;-38.99195833
94;CANAL OROS-LIMA CAMPOS;16;Sim;1239/2021;-6.372602778;-38.98717778
95;CANAL ORÓS - LIMA CAMPOS;16;Sim;1240/2021;-6.358416667;-38.98710833
96;CANAL OROS- LIMA CAMPOS;16;Não;;-6.37265;-38.98716111
97;CANAL OROS - LIMA CAMPOS;16;Não;;-6.360955556;-38.986375
98;CANAL OROS - LIMA CAMPOS;16;Não;;-6.36535;-38.986425
99;CANAL OROS - LIMA CAMPOS;16;Não;;-6.364938889;-38.98693611
100;CANAL OROS - LIMA CAMPOS;16;Não;;-6.360519444;-38.986525
101;Rio Carius ;9;Não;;-6.6006;-39.6106
102;Rio Carius ;9;Não;;-6.5597;-39.4891
103;Rio Carius ;9;Não;;-6.6156;-39.6413
104;Rio Carius ;9;Não;;-6.615;-39.636
105;Rio Carius ;9;Não;;-6.6001;-39.6015
106;Rio Carius ;9;Não;;-6.572;-39.4867
107;Rio carius;9;Não;;-6.6234;-39.5037
108;Açude Xixa;9;Não;;-6.6484;-39.6029
109;Rio Bastião;9;Não;;-6.6017;-39.5988
110;Rio Bastião;9;Não;;-6.5651;-39.523
111;Riacho do Xixá ;9;Não;;-6.6393;-39.6042
112;Rio Carius ;9;Não;;-6.564;-39.4885
113;Rio Carius ;9;;;-6.6142;-39.6315
114;Rio Bastião ;9;Não;;-6.5642;-39.5211
115;Rio Carius ;9;Não;;-6.5623;-39.4865
116;Poço Amazonas ;9;Não;;-6.5898;-39.5836
117;Riacho Xixá ;9;Não;;-6.6394;-39.6045
118;Rio Carius ;9;Não;;-6.6278;-39.5072
119;Rio Carius ;9;Não;;-6.6958;-39.5243
120;Rio Carius ;9;Não;;-6.6077;-39.5251
121;Rio Carius ;9;Não;;-6.6942;-39.525
122;Rio Carius;9;Não;;-6.589;-39.4801
123;Rio Carius ;9;Não;;-6.6895;-39.5271
124;Rio Carius ;9;Não;;-6.6736;-39.5301
125;Rio Carius ;9;Não;;-6.6885;-39.5274
126;Rio Carius ;9;Não;;-6.6912;-39.5276
127;Rio Carius ;9;Não;;-6.6957;-39.5247
128;Rio Carius ;9;Não;;-6.6083;-39.4941
129;Rio Bastiões ;9;Sim;2069/2021;-6.5775;-39.5515
130;Rio Carius ;9;Não;;-6.6073;-39.4924
131;Rio Bastiões ;9;Não;;-6.6228;-39.6555
132;Rio Carius ;9;Não;;-6.6871;-39.5274
133;Rio Carius ;9;Não;;-6.5649;-39.488
134;Rio Carius ;9;Não;;-6.6079;-39.4941
135;Rio Bastiões ;9;Não;;-6.6186;-39.6483
136;Rio Carius ;9;Não;;-6.6062;-39.4911
137;Rio Bastiões ;9;Não;;-6.6189;-39.6488
138;Rio Carius ;9;Não;;-6.6291;-39.6714
139;Rio Carius ;9;Não;;-6.7113;-39.5287
140;Rio Carius ;9;Não;;-6.5612;-39.4873
141;Rio Bastiões ;9;Não;;-6.6231;-39.6556
142;Rio Carius ;9;Não;;-6.7176;-39.5233
143;Rio Bastiões ;9;Não;;-6.6215;-39.6543
144;Rio Bastiões ;9;Não;;-6.6231;-39.6556
145;Rio Carius ;9;Não;;-6.5582;-39.4914
146;Rio Carius ;9;Não;;-6.5576;-39.4922
147;Rio Carius ;9;Não;;-6.5625;-39.4869
148;Rio Carius ;9;Não;;-6.6408;-39.513
149;Rio Bastiões ;9;Não;;-6.5774;-39.5652
150;Rio Carius ;9;Não;;-6.5822;-39.4914
151;Rio Carius ;9;Não;;-6.6043;-39.4935
152;Rio Carius ;9;Não;;-6.6364;-39.6748
153;Rio Carius;9;Não;;-6.6098;-39.4971
154;Rio Carius ;9;Não;;-6.6078;-39.5024
